name,ra,dec,mag
Sirius,101.2875,-16.7161,-1.46
Canopus,95.9879,-52.6957,-0.74
Arcturus,213.9153,19.1824,-0.05
Vega,279.2347,38.7837,0.03
Capella,79.1723,45.9979,0.08
Rigel,78.6345,-8.2016,0.12
Procyon,114.8255,5.2250,0.38
Betelgeuse,88.7929,7.4071,0.42
Achernar,24.4286,-57.2367,0.46
Hadar,210.9558,-60.3730,0.61
Altair,297.6958,8.8683,0.77
Aldebaran,68.9800,16.5093,0.85
Spica,201.2983,-11.1613,0.98
Antares,247.3519,-26.4320,1.06
Pollux,116.3289,28.0262,1.14
Fomalhaut,344.4128,-29.6222,1.16
Deneb,310.3579,45.2803,1.25
Regulus,152.0929,11.9672,1.35
Adhara,104.6564,-28.9721,1.50
Castor,113.6494,31.8883,1.58
